,x,y,player_name,team,position,foot,goals,agg_position
2841,6.270948,2.4030373,Alberto Rivera Pizarro,Real Betis,Center Attacking Midfield,Right Foot,0.0,Attacking Midfield
2842,9.684125,3.0096312,Luís Eduardo Schmidt,Real Betis,Center Attacking Midfield,Right Foot,0.0,Attacking Midfield
2843,6.304817,3.8720531,Óscar Sánchez Fuentes,Real Valladolid,Center Attacking Midfield,Left Foot,0.0,Attacking Midfield
2844,6.536099,4.775429,Víctor Manuel Fernández Gutiérrez,Real Valladolid,Right Wing,Right Foot,0.0,Right Wing
2845,-1.1374881,7.749118,Alberto López Fernández,Real Valladolid,Goalkeeper,Right Foot,0.0,Goalkeeper
2846,7.2110004,3.0472827,"Daniel Armand N""Gom Komé",Tenerife,Center Forward,Right Foot,0.0,Striker
2847,8.2748785,4.580696,Héctor Font Romero,Osasuna,Left Wing,Right Foot,0.0,Left Wing
2848,7.0933757,5.7134504,Martín Mauricio Astudillo,Osasuna,Right Center Back,Right Foot,0.0,Center Back
2849,-0.7475764,8.799169,Ricardo López Felipe,Osasuna,Goalkeeper,Left Foot,0.0,Goalkeeper
2850,8.1783085,8.375195,César Cruchaga Lasa,Osasuna,Right Center Back,Right Foot,0.0,Center Back
2851,2.8905685,6.3660636,Carlos Alberto Vela Garrido,Real Sociedad,Center Forward,Left Foot,0.125,Striker
2852,9.832325,3.015065,Enrique Sola Clemente,Osasuna,Center Forward,Right Foot,0.0,Striker
2853,6.544199,5.230874,Aitor López Rekarte,Almería,Left Back,Right Foot,0.0,Left Back
2854,8.193303,4.159451,Felipe Melo de Carvalho,Racing Santander,Left Center Midfield,Right Foot,0.0,Center Midfield
2855,-1.8776441,8.163515,David Cobeño Iglesias,Rayo Vallecano,Goalkeeper,Right Foot,0.0,Goalkeeper
2856,4.5904884,6.71504,Mohamed El Yaagoubi,Osasuna,Left Midfield,Left Foot,0.0,Left Wing
2857,6.4109573,3.2751086,Jonatan Soriano Casas,Espanyol,Right Center Forward,Right Foot,0.0,Striker
2858,9.109147,3.0950968,Santiago Ezquerro Marín,Barcelona,Left Wing,Right Foot,0.0,Left Wing
2859,4.2745166,8.537888,Clemente Juan Rodríguez,Espanyol,Left Back,Left Foot,0.0,Left Back
2860,9.05905,3.7214148,Valmiro Lópes Rocha,Levante,Right Wing,Right Foot,0.1111111111111111,Right Wing
2861,5.1568923,6.3588223,Albert Riera Ortega,Espanyol,Left Midfield,Left Foot,0.0,Left Wing
2862,9.180835,2.4023287,Ewerthon Henrique de Souza,Real Zaragoza,Right Center Forward,Right Foot,0.0,Striker
2863,7.1254797,5.858202,Francisco Joaquín Pérez Rufete,Espanyol,Left Midfield,Right Foot,0.0,Left Wing
2864,3.5404527,3.3999639,Pablo Javier Zabaleta Girod,Espanyol,Right Back,Right Foot,0.0,Right Back
2865,8.974933,8.5685425,Marc Torrejón Moya,Racing Santander,Right Center Back,Right Foot,0.0,Center Back
2866,8.909547,4.342965,Sebastián Taborda Ramos,Deportivo La Coruna,Center Forward,Head,0.0,Striker
2867,-2.135101,7.627536,Gustavo Adolfo Munúa Vera,Levante,Goalkeeper,Right Foot,0.0,Goalkeeper
2868,3.504105,3.9017482,Fabricio Coloccini,Deportivo La Coruna,Left Center Back,Right Foot,0.0,Center Back
2869,8.083704,7.6748724,Adrián López Rodríguez,Deportivo La Coruna,Left Center Back,Right Foot,0.0,Center Back
2870,7.721231,7.030332,Antonio Tomás González,Deportivo La Coruna,Left Defensive Midfield,Right Foot,0.0,Defensive Midfield
2871,10.093131,3.186688,Francisco Jiménez Tejada,Racing Santander,Center Forward,Right Foot,0.0,Striker
2872,8.403592,4.144294,Jon Dahl Tomasson,AC Milan,Center Forward,Right Foot,0.5,Striker
2873,5.345424,8.64706,Pascal Cygan,Arsenal,Left Center Back,Left Foot,0.0,Center Back
2874,-1.4577768,7.878326,Mario Sebastián Viera Galain,Villarreal,Goalkeeper,Right Foot,0.0,Goalkeeper
2875,7.8747544,8.371243,Fabricio Fabio Fuentes,Villarreal,Right Center Back,Right Foot,0.0,Center Back
2876,8.408388,5.750593,Miguel Pallardó González,Levante,Center Defensive Midfield,Right Foot,0.0,Defensive Midfield
